RecordID,Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
2,25.504256,34.063680,8.2583380,8.0256773,0.00102000,28.05861086
3,26.015648,34.092976,8.2915318,8.1598991,0.00102000,28.01119562
4,25.131823,34.069636,8.4066082,8.2102693,0.00102000,27.98819165
5,25.765204,34.034436,8.3093488,8.3815488,0.00102000,27.99687117
6,25.729753,34.120960,8.2098792,8.0018809,0.00102000,27.68392726
7,26.443178,34.010910,8.3944567,8.1403981,0.00102000,27.96710876
8,25.722102,33.933424,8.2462414,8.1791831,0.00102000,27.38066840
9,25.586024,34.064325,8.3164744,8.4439658,0.00102000,26.89405584
10,25.553376,34.123307,8.2362112,8.1933734,0.00102000,26.59982247
11,25.618904,33.928807,8.3072612,8.4233120,0.00102000,26.48375856
12,25.589456,34.184102,8.3019004,8.1520911,0.00102000,27.06374364
13,25.712787,34.084784,8.2198744,7.9436511,0.00102000,26.38311552
14,25.634945,34.076892,8.2640632,7.9588528,0.00102000,26.40291396
15,25.442147,34.181525,8.2664819,8.0362330,0.00102000,26.79329345
16,25.786544,34.131172,8.2550465,7.7275041,0.00102000,27.10395532
17,25.778054,34.145242,8.3136683,7.9089457,0.00102000,26.12260749
18,25.715470,34.029978,8.2143262,8.0693302,0.00102000,26.45919106
19,25.473524,34.148408,8.1970238,7.9466017,0.00102000,25.83374204
20,25.426348,34.030477,8.3172890,7.7788258,0.00102000,25.81864747
21,25.501142,34.065692,8.2372707,7.7210024,0.00102000,25.97158069
22,25.311754,34.036036,8.2192637,7.9887544,0.00102000,25.59146672
23,25.423538,34.081693,8.2587850,8.0306575,0.00102000,24.98883751
24,25.810664,34.126652,8.2531333,7.8423806,0.00102000,26.16064858
25,25.022225,34.166348,8.3697791,7.6867418,0.00102000,25.56919408
26,25.402494,34.191308,8.3143429,7.8088754,0.00102000,25.75367891
27,25.699266,34.225414,8.2482537,7.3815484,0.00102000,25.61081081
28,25.796201,33.969494,8.3698547,7.5256547,0.00102000,24.88488053
29,25.372037,33.955969,8.2900482,7.6545214,0.00102000,24.72328560
30,25.849370,34.062552,8.3192116,7.8444413,0.00102000,25.00767736
31,25.508050,34.225538,8.2765105,7.6719850,0.00102000,23.84018716
32,25.854097,34.285221,8.3307039,7.8657294,0.00102000,24.66555399
33,25.873220,34.299545,8.3723408,7.4598595,0.00102000,24.41880176
34,25.534228,34.543498,8.2310416,7.3546178,0.00102000,24.37610058
35,25.618783,34.617957,8.2491179,7.8199812,0.00102000,24.03152840
36,25.512956,34.826760,8.3273798,7.0488078,0.00102000,24.49928325
37,25.646713,34.902465,8.2678488,7.5881932,0.00102000,24.29025207
38,25.598536,35.040035,8.2551371,7.3674557,0.00102000,24.51937986
39,25.474681,35.306836,8.2515887,7.6391277,0.00102000,24.27358468
40,25.350885,35.136797,8.2613933,7.5334530,0.00102000,24.21657816
41,25.292076,34.983075,8.3312015,7.3697333,0.00102000,24.07064321
42,26.188043,35.258294,8.2863064,7.3278555,0.00102000,23.65317830
43,25.481033,34.937690,8.3015091,7.6630442,0.00102000,23.93955921
44,25.523158,34.976736,8.3384674,7.4873707,0.00102000,23.39483403
45,26.041590,34.978467,8.2810927,7.2450101,0.00102000,23.04958941
46,25.505659,35.104562,8.3127467,7.6092286,0.00102000,23.99516635
47,25.264963,35.057158,8.1901424,7.6458879,0.00102000,23.17311032
48,26.366023,34.979427,8.2677304,7.2395901,0.00102000,23.73186291
49,25.885659,34.990870,8.2477633,7.1362659,0.00102000,23.11817670
50,25.536748,35.186508,8.2279072,6.7847244,0.00102000,22.76210440
51,25.739766,34.975535,8.2715373,7.3426823,0.00102000,23.62691056
52,25.357121,35.193638,8.2949206,7.1809965,0.00102000,22.91939027
53,25.706220,35.122470,8.2688268,6.8761560,0.00102000,24.08873060
54,25.024033,34.950183,8.2890618,6.8760721,0.00102000,22.99316737
55,25.486387,35.076590,8.3130626,7.3474186,0.00102000,22.71051343
56,25.742933,34.955220,8.2417052,7.3725588,0.00102000,23.02487019
57,25.393433,35.092612,8.2640781,7.3810644,0.00102000,23.61796434
58,25.788232,35.081894,8.3517592,7.1450804,0.00102000,23.19527704
59,25.874169,35.175265,8.2925033,7.0924099,0.00102000,22.93212189
60,26.253633,35.013675,8.1943185,7.2156773,0.00102000,23.98115307
61,25.965556,35.192944,8.2914076,7.3823659,0.00102000,23.24807067
62,25.418466,35.074967,8.2697294,7.3667677,0.00102000,23.56875737
63,25.351797,35.096261,8.2484230,6.9242155,0.00102000,22.84691504
64,25.691603,35.026447,8.2641322,7.0994973,0.00102000,23.15722083
65,26.234096,35.112834,8.2852836,6.8303491,0.00102000,23.51481922
66,25.505481,34.998415,8.2403112,6.9807085,0.00102000,23.30075925
67,26.083296,34.942534,8.2338833,7.0037247,0.00102000,23.97805379
68,25.457614,35.064859,8.3201436,6.8960777,0.00102000,23.97995434
69,26.610412,34.984161,8.2762913,6.9513135,0.00102000,22.96084033
