RecordID,Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
2,25.759952,34.078328,8.2749349,8.0927882,0.00102000,28.05861086
3,25.550576,34.075431,8.3188260,8.1319486,0.00102000,28.01119562
4,25.637558,34.065683,8.3358296,8.2505724,0.00102000,27.98819165
5,25.542260,34.075011,8.3086121,8.1978997,0.00102000,27.99687117
6,25.979378,34.055435,8.3045616,8.1746093,0.00102000,27.68392726
7,25.965011,34.021765,8.2835258,8.1071540,0.00102000,27.96710876
8,25.917101,34.002886,8.3190575,8.2545157,0.00102000,27.38066840
9,25.620501,34.040352,8.2663090,8.2721741,0.00102000,26.89405584
10,25.586101,34.038813,8.2866489,8.3535504,0.00102000,26.59982247
11,25.587245,34.078739,8.2817909,8.2562588,0.00102000,26.48375856
12,25.640382,34.065898,8.2763453,8.1730181,0.00102000,27.06374364
13,25.645729,34.115259,8.2619460,8.0181983,0.00102000,26.38311552
14,25.596626,34.114400,8.2501398,7.9795790,0.00102000,26.40291396
15,25.621212,34.129863,8.2618639,7.9075300,0.00102000,26.79329345
16,25.668915,34.152646,8.2783989,7.8908943,0.00102000,27.10395532
17,25.760023,34.102131,8.2610137,7.9019267,0.00102000,26.12260749
18,25.655683,34.107876,8.2416728,7.9749592,0.00102000,26.45919106
19,25.538447,34.069621,8.2428797,7.9315859,0.00102000,25.83374204
20,25.467005,34.081526,8.2505278,7.8154766,0.00102000,25.81864747
21,25.413081,34.044068,8.2579411,7.8295275,0.00102000,25.97158069
22,25.412145,34.061140,8.2384398,7.9134714,0.00102000,25.59146672
23,25.515319,34.081460,8.2437273,7.9539308,0.00102000,24.98883751
24,25.418809,34.124898,8.2938991,7.8532600,0.00102000,26.16064858
25,25.411794,34.161436,8.3124184,7.7793326,0.00102000,25.56919408
26,25.374662,34.194357,8.3107919,7.6257219,0.00102000,25.75367891
27,25.632654,34.128739,8.3108171,7.5720262,0.00102000,25.61081081
28,25.622501,34.050292,8.3027189,7.5205748,0.00102000,24.88488053
29,25.672536,33.996005,8.3263715,7.6748725,0.00102000,24.72328560
30,25.576486,34.081353,8.2952568,7.7236492,0.00102000,25.00767736
31,25.737172,34.191104,8.3088087,7.7940519,0.00102000,23.84018716
32,25.745122,34.270101,8.3265184,7.6658580,0.00102000,24.66555399
33,25.753848,34.376088,8.3113621,7.5600689,0.00102000,24.41880176
34,25.675410,34.487000,8.2841668,7.5448195,0.00102000,24.37610058
35,25.555322,34.662738,8.2691798,7.4078023,0.00102000,24.03152840
36,25.592817,34.782394,8.2814488,7.4856607,0.00102000,24.49928325
37,25.586068,34.923087,8.2834552,7.3348189,0.00102000,24.29025207
38,25.573310,35.083112,8.2581915,7.5315922,0.00102000,24.51937986
39,25.474701,35.161223,8.2560397,7.5133455,0.00102000,24.27358468
40,25.372547,35.142236,8.2813945,7.5141047,0.00102000,24.21657816
41,25.610335,35.126055,8.2929671,7.4103473,0.00102000,24.07064321
42,25.653717,35.059686,8.3063390,7.4535443,0.00102000,23.65317830
43,25.730745,35.057573,8.3087610,7.4927568,0.00102000,23.93955921
44,25.681927,34.964298,8.3070231,7.4651417,0.00102000,23.39483403
45,25.690136,35.019922,8.3107689,7.4472031,0.00102000,23.04958941
46,25.604071,35.046729,8.2613273,7.5000422,0.00102000,23.99516635
47,25.712215,35.047049,8.2568732,7.4982355,0.00102000,23.17311032
48,25.838882,35.009152,8.2352120,7.3405813,0.00102000,23.73186291
49,25.929477,35.052268,8.2478003,7.0535268,0.00102000,23.11817670
50,25.720724,35.050971,8.2490693,7.0878909,0.00102000,22.76210440
51,25.544545,35.118560,8.2647884,7.1028011,0.00102000,23.62691056
52,25.601036,35.097214,8.2784282,7.1332783,0.00102000,22.91939027
53,25.362458,35.088764,8.2842697,6.9777415,0.00102000,24.08873060
54,25.405547,35.049748,8.2903171,7.0332156,0.00102000,22.99316737
